atm_id,month,day,service,atm_street_number,atm_zipcode,atm_lat,atm_lon,temp,pressure,humidity,wind_speed,wind_deg,rain_3h,clouds_all,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,atm_status_Active,atm_status_Inactive,atm_manufacturer_Diebold Nixdorf,atm_manufacturer_NCR,atm_location_Bindslev,atm_location_Bryggen  Vejle,atm_location_Frederiksberg,atm_location_Hobro,atm_location_Hørning Hallen,atm_location_Intern  Skive,atm_location_Jebjerg,atm_location_Odense,atm_location_Storvorde,atm_location_Viborg,atm_streetname_Adelgade,atm_streetname_Fælledvej,atm_streetname_Gammel Kongevej,atm_streetname_Kirkegade,atm_streetname_Nørrebro,atm_streetname_Sønderbrogade,atm_streetname_Toftevej,atm_streetname_Toldboden,atm_streetname_Vandværksvej,weather_main_Clear,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Mist,weather_main_Rain,weather_main_Snow,weather_main_Thunderstorm
18,1,16,43,3,8800,56.44774747,9.40115181,268.429069767442,1028.83720930233,91.3023255813954,1.62790697674419,295.558139534884,0,5.23255813953488,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,1,17,22,3,8800,56.44774747,9.40115181,273.104545454545,1034.86363636364,92.5909090909091,2.63636363636364,202.727272727273,2.975,87.6363636363636,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,1,18,24.034431752935053,3,8800,56.44774747,9.40115181,277.538888888889,1033.97222222222,97.2777777777778,4.38888888888889,230.555555555556,1.38,89.75,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,1,19,18.031239055853803,3,8800,56.44774747,9.40115181,279.75,1033.16,91.36,3.84,251.2,0.6,67,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,1,20,58,3,8800,56.44774747,9.40115181,280.13275862069,1031.55172413793,90.2068965517241,4.94827586206897,267.413793103448,0,41.6034482758621,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,1,21,25,3,8800,56.44774747,9.40115181,279.83,1029.68,89.64,2.68,268.4,1.2675,77.92,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,1,22,10,3,8800,56.44774747,9.40115181,277.05,1026.5,87.4,1.8,209,0,55.6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,1,23,37,3,8800,56.44774747,9.40115181,276.474324324324,1021.81081081081,89.2972972972973,2.78378378378378,222.702702702703,0,65.8918918918919,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,1,24,35,3,8800,56.44774747,9.40115181,277.39214285714303,1027.45714285714,96.1714285714286,2.51428571428571,245.485714285714,0,55.4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
18,1,25,34,3,8800,56.44774747,9.40115181,275.96441176470603,1035.08823529412,93,4.67647058823529,230.970588235294,0,26.7647058823529,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,1,26,43,3,8800,56.44774747,9.40115181,272.870930232558,1029.23255813953,92.7674418604651,2.58139534883721,145.348837209302,0,54.6744186046512,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,1,27,53,3,8800,56.44774747,9.40115181,274.999056603774,1019.39622641509,77.5660377358491,3.64150943396226,135.849056603774,0,1.13207547169811,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,1,28,27,3,8800,56.44774747,9.40115181,277.409259259259,1017.18518518519,85.7777777777778,2.96296296296296,140.37037037037,0,21.3333333333333,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,1,29,12,3,8800,56.44774747,9.40115181,275.983333333333,1012.25,96.8333333333333,3,182.5,0,75.1666666666667,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
18,1,30,39,3,8800,56.44774747,9.40115181,276.585897435897,1015.30769230769,93.3589743589744,2.05128205128205,82.3076923076923,0,79.1025641025641,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,1,31,92,3,8800,56.44774747,9.40115181,274.660869565217,1020.27173913043,95.9782608695652,3.97826086956522,95.7608695652174,0,76.0108695652174,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
